Cunha, Carlos, University of Michigan
Mandelbaum, Rachel,  Carnegie Mellon University
Schlegel, David, Lawrence Berkeley National Laboratory
Myers, Adam, University of Wyoming
Ho, Shirley, University of Pittsburgh
White, Martin, University of California-Berkeley
Dawson, Kyle, University of Utah
Yeche, Christophe, CEA-Saclay
Hogg, David, New York University
Blanton, Michael, New York University
Tinker, Jeremy, New York University
Wechsler, Risa, Stanford University
Rozo, Eduardo, Kavli Institute for Cosmological Physics
Weinberg, David, Ohio State University
Zehavi, Idit, Case Western Reserve University
Padmanabhan, Nikhil, Yale University
Rykoff, Eli, University of California Santa Barbara
Johnston, David, Fermi National Laboratory
Mckay, Timothy, University of Michigan
Evrard, August, University of Michigan
Annis, Jim, Fermi National Laboratory
Koester, Ben, University of Chicago
Hansen, Sarah, University of California Santa Cruz
Frieman, Josh, University of Chicago
Schmidt, Fabian, Caltech
Dodelson, Scott, University of Chicago
Hui, Lam, Columbia University
Becker, Matt, University of Chicago
Jarvis, Michael, University of Pennsylvania
