0.000000 0.031428	0.001498 0.000522481
0.031429 0.062857	0.008217 0.00215073
0.062857 0.094285	0.018371 0.00409361
0.094286 0.125714	0.028146 0.005032
0.125715 0.157143	0.039093 0.00509118
0.157143 0.188571	0.051159 0.00725008
0.188572 0.220000	0.060654 0.00904707
0.220000 0.251428	0.064767 0.00767083
0.251429 0.282857	0.068337 0.00816913
0.282857 0.314285	0.073043 0.00868373
0.314286 0.345714	0.070676 0.00645186
0.345715 0.377143	0.067710 0.00785276
0.377143 0.408571	0.065872 0.00609346
0.408572 0.440000	0.060886 0.00626634
0.440000 0.471428	0.051652 0.0060176
0.471429 0.502857	0.047917 0.00521564
0.502857 0.534285	0.042278 0.00383423
0.534286 0.565714	0.036639 0.00394379
0.565715 0.597143	0.030775 0.00364059
0.597143 0.628571	0.026040 0.00274879
0.628572 0.660000	0.021297 0.00223929
0.660000 0.691428	0.016835 0.00190855
0.691429 0.722857	0.013475 0.00155909
0.722857 0.754285	0.009766 0.00141449
0.754286 0.785714	0.007028 0.00102268
0.785715 0.817143	0.005215 0.000803666
0.817143 0.848571	0.003392 0.000601853
0.848572 0.880000	0.002830 0.000475532
0.880000 0.911428	0.001869 0.000368681
0.911429 0.942857	0.001406 0.000307403
0.942857 0.974285	0.001043 0.000269097
0.974286 1.005710	0.000805 0.000195994
1.005710 1.037140	0.000548 0.000169173
1.037140 1.068570	0.000426 0.000146755
1.068570 1.100000	0.000338 0.000118708
